validation_pair_id,modeled_event_link,identity_match_uncertain,fuzzy_link,gap_link,fy2019_2020_bridge,name_similarity,same_municipality,same_official_code,configuration_matches,capacity_relative_change,start_year_change,reviewer_a_decision,reviewer_b_decision,adjudication,stable_site_id,match_family
LV0016,False,False,True,False,False,0.857143,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_b5df6a88a449,official_code_with_other_support
LV0017,False,False,True,False,False,0.896552,True,False,4,0.500000,0.000000,same lineage but probable asset/configuration reset,same lineage but probable asset/configuration reset,same lineage but probable asset/configuration reset,site_aa9917c179e0,fuzzy_name_without_code
LV0018,False,False,True,False,False,0.272727,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_2b898fa7b2fb,official_code_with_other_support
LV0019,False,False,True,False,False,0.272727,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_ec46fd3ba2f3,official_code_with_other_support
LV0020,False,False,True,False,False,0.571429,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_78353e0ed76b,official_code_with_other_support
LV0021,False,False,True,False,False,0.571429,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_0e4a5e1c77b4,official_code_with_other_support
LV0022,False,False,True,False,False,0.529412,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_1945a19de22d,official_code_with_other_support
LV0023,False,False,True,False,False,0.727273,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_6a2323322026,official_code_with_other_support
LV0024,True,False,True,False,False,0.444444,True,True,2,0.115000,26.000000,same lineage but probable asset/configuration reset,same lineage but probable asset/configuration reset,same lineage but probable asset/configuration reset,site_6958d603c8ad,official_code_with_other_support
LV0025,False,False,True,False,False,0.733333,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_f7ab4d87540a,official_code_with_other_support
LV0026,False,False,True,False,False,0.866667,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_b1df8216d9a3,official_code_with_other_support
LV0027,False,False,True,False,False,0.000000,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_32d704e584b5,official_code_with_other_support
LV0028,False,False,True,False,False,0.960000,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_2c1bac05eb47,official_code_with_other_support
LV0029,False,False,True,False,False,0.470588,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_c902a93f1fb9,official_code_with_other_support
LV0030,False,False,True,False,False,0.800000,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_2866e4dc4cf2,official_code_with_other_support
LV0031,False,False,True,False,False,0.900000,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_2abe1ee2eca5,official_code_with_other_support
LV0032,False,False,True,False,False,0.869565,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_92033a6feccd,official_code_with_other_support
LV0033,False,False,True,False,False,0.823529,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_5ed4c324647d,official_code_with_other_support
LV0034,False,False,True,False,False,0.780488,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_432cd7d1a402,official_code_with_other_support
LV0035,False,False,True,False,False,0.962963,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_f4e6790c3fad,official_code_with_other_support
LV0036,False,False,True,False,False,0.956522,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_23a731f2b46d,official_code_with_other_support
LV0037,False,False,True,False,False,0.764706,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_cabcfd4ead76,official_code_with_other_support
LV0038,False,False,True,False,False,0.769231,True,True,5,0.500000,0.000000,same lineage but probable asset/configuration reset,same lineage but probable asset/configuration reset,same lineage but probable asset/configuration reset,site_25afa92e20bf,official_code_with_other_support
LV0039,False,False,True,False,False,0.869565,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_85a9cc1a75a3,official_code_with_other_support
LV0040,False,False,True,False,False,0.880000,True,True,4,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_76c84dcffc1f,official_code_with_other_support
LV0041,False,False,True,False,False,0.869565,True,True,4,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_d2c867d5d067,official_code_with_other_support
LV0042,False,False,True,False,False,0.500000,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_56af18d0f81b,official_code_with_other_support
LV0043,False,False,True,False,False,0.838710,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_283d0c9c0a0b,official_code_with_other_support
LV0044,False,False,True,False,False,0.857143,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_2588b115e7e1,official_code_with_other_support
LV0045,False,False,True,False,False,0.780488,False,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_b9c4812c0aab,official_code_with_other_support
LV0046,False,False,True,False,False,0.869565,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_a747abe0d27b,official_code_with_other_support
LV0047,False,False,True,False,False,0.551724,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_893121308be0,official_code_with_other_support
LV0048,False,False,True,False,False,0.500000,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_6177a00b12d2,official_code_with_other_support
LV0049,False,False,True,False,False,0.480000,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_e25244c8c681,official_code_with_other_support
LV0050,False,False,True,False,False,0.333333,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_11ce7bb61010,official_code_with_other_support
LV0051,False,False,True,False,False,0.758621,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_760d2f4736f5,official_code_with_other_support
LV0052,False,False,True,False,False,0.857143,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_de743bd1d2ce,official_code_with_other_support
LV0053,False,False,True,False,False,0.952381,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_b35917b9f097,official_code_with_other_support
LV0054,False,False,True,False,False,0.380952,True,True,4,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_8cd31d881282,official_code_with_other_support
LV0055,False,False,True,False,False,0.512821,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_4021e21aca65,official_code_with_other_support
LV0056,False,False,True,False,False,0.900000,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_8d1701eebfa2,official_code_with_other_support
LV0057,False,False,True,False,False,0.846154,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_7671639bb71e,official_code_with_other_support
LV0058,False,False,True,False,False,0.842105,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_4a00a5bd7e56,official_code_with_other_support
LV0059,False,False,True,False,False,0.666667,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_6d0f3b454673,official_code_with_other_support
LV0060,True,False,False,False,False,1.000000,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_023193e1d0b7,official_code_and_exact_name
LV0061,False,False,True,False,False,0.666667,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_f5ce95f6fa72,official_code_with_other_support
LV0062,False,False,True,False,False,0.875000,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_fee4b850927d,official_code_with_other_support
LV0063,False,False,True,False,False,0.666667,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_cee62c803612,official_code_with_other_support
LV0064,False,False,True,False,False,0.500000,True,True,4,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_d94c457807c6,official_code_with_other_support
LV0065,False,False,False,False,False,1.000000,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_554dee24d43d,official_code_and_exact_name
LV0066,False,False,False,False,False,1.000000,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_6468b1d26599,official_code_and_exact_name
LV0067,False,False,True,False,False,0.750000,True,True,5,0.500000,0.000000,same lineage but probable asset/configuration reset,same lineage but probable asset/configuration reset,same lineage but probable asset/configuration reset,site_fae303106669,official_code_with_other_support
LV0068,False,False,True,False,False,0.666667,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_047902257ca2,official_code_with_other_support
LV0069,False,False,True,False,False,0.833333,True,True,5,0.500000,0.000000,same lineage but probable asset/configuration reset,same lineage but probable asset/configuration reset,same lineage but probable asset/configuration reset,site_939b7256f578,official_code_with_other_support
LV0070,False,False,True,False,False,0.857143,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_11151d903f0f,official_code_with_other_support
LV0071,False,False,True,False,False,0.606061,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_23e54e864218,official_code_with_other_support
LV0072,False,False,True,False,False,0.666667,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_cbd805d8ec9e,official_code_with_other_support
LV0073,True,False,False,False,False,1.000000,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_4d342980f1a6,official_code_and_exact_name
LV0074,False,False,True,False,False,0.000000,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_5f5a070268a9,official_code_with_other_support
LV0075,False,False,True,False,False,0.814815,True,True,4,0.500000,0.000000,same lineage but probable asset/configuration reset,same lineage but probable asset/configuration reset,same lineage but probable asset/configuration reset,site_1709aa078c2e,official_code_with_other_support
LV0076,False,False,True,False,False,0.480000,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_9022b246f90e,official_code_with_other_support
LV0077,False,False,True,False,False,0.650000,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_c267c9b45fe6,official_code_with_other_support
LV0078,False,False,True,False,False,0.869565,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_5fda287588d2,official_code_with_other_support
LV0079,False,False,True,False,False,0.769231,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_2ed84204e274,official_code_with_other_support
LV0080,False,False,True,False,False,0.842105,True,True,5,0.125000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_4739f88bb57b,official_code_with_other_support
LV0081,False,False,True,False,False,0.869565,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_93191f1624ce,official_code_with_other_support
LV0082,True,False,False,False,False,1.000000,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_b46782955f68,official_code_and_exact_name
LV0083,False,False,True,False,False,0.818182,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_40f25fd501be,official_code_with_other_support
LV0084,False,False,True,False,False,0.347826,True,True,5,0.500000,0.000000,same lineage but probable asset/configuration reset,same lineage but probable asset/configuration reset,same lineage but probable asset/configuration reset,site_f8ba58ed7dfa,official_code_with_other_support
LV0085,False,False,True,False,False,0.962963,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_b11f6c8c071a,official_code_with_other_support
LV0086,False,False,True,False,False,0.785714,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_0126090c7f34,official_code_with_other_support
LV0087,False,False,True,False,False,0.952381,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_ac0792fbd391,official_code_with_other_support
LV0088,False,True,False,False,False,1.000000,True,False,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_2f8dbc35a0b2,exact_name_without_code
LV0089,False,False,True,False,False,0.956522,False,False,5,0.000000,0.000000,different facility history,different facility history,unresolved: external evidence required,site_3779725fa511,fuzzy_name_without_code
LV0090,False,False,False,False,False,1.000000,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_6c3e27529c90,official_code_and_exact_name
LV0091,False,False,True,False,False,0.424242,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_b5b0bd851959,official_code_with_other_support
LV0092,False,False,True,False,False,0.969697,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_d2a74c651c62,official_code_with_other_support
LV0093,False,False,True,False,False,0.588235,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_8a69384a06b7,official_code_with_other_support
LV0094,False,False,True,False,False,0.692308,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_f93d9f2c9202,official_code_with_other_support
LV0095,False,False,True,False,False,0.941176,False,False,5,0.000000,0.000000,different facility history,different facility history,unresolved: external evidence required,site_78353e0ed76b,fuzzy_name_without_code
LV0096,False,False,False,False,False,1.000000,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_f576e331e46a,official_code_and_exact_name
LV0097,False,False,True,False,False,0.937500,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_f602e5c5af2d,official_code_with_other_support
LV0098,False,False,True,False,False,0.937500,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_957517517f25,official_code_with_other_support
LV0099,False,False,True,False,False,0.916667,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_9a6ceb257643,official_code_with_other_support
LV0100,False,False,True,False,False,0.909091,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_0c4ac16343f3,official_code_with_other_support
LV0101,False,False,True,False,False,0.909091,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_aca534398680,official_code_with_other_support
LV0102,False,False,True,False,False,0.909091,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_e3d666144884,official_code_with_other_support
LV0103,False,False,True,False,False,0.909091,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_3bce33ac97d3,official_code_with_other_support
LV0104,False,False,True,False,False,0.956522,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_2fa44c7ffbaa,official_code_with_other_support
LV0105,False,False,True,False,False,0.900000,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_0b106bd2c83c,official_code_with_other_support
LV0106,False,False,True,False,False,0.909091,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_01646d0393a5,official_code_with_other_support
LV0107,False,False,True,False,False,0.909091,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_bcac62af2531,official_code_with_other_support
LV0108,False,False,True,False,False,0.909091,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_dadbb12fb988,official_code_with_other_support
LV0109,False,False,True,False,False,0.848485,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_6958d603c8ad,official_code_with_other_support
LV0110,False,False,True,False,False,0.571429,True,True,4,0.000000,1.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_4e0dd7f7a0ff,official_code_with_other_support
LV0111,False,False,True,False,False,0.962963,True,True,4,0.500000,0.000000,same lineage but probable asset/configuration reset,same lineage but probable asset/configuration reset,same lineage but probable asset/configuration reset,site_6b5f8681e384,official_code_with_other_support
LV0112,False,False,True,False,False,0.857143,True,True,4,0.520000,0.000000,same lineage but probable asset/configuration reset,same lineage but probable asset/configuration reset,same lineage but probable asset/configuration reset,site_35134d36c0f7,official_code_with_other_support
LV0113,False,False,True,False,False,0.888889,True,True,5,0.259259,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_18f0ed169c0f,official_code_with_other_support
LV0114,False,False,True,False,False,0.000000,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_daef99c09c96,official_code_with_other_support
LV0115,False,False,True,False,False,0.960000,True,False,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_2c1bac05eb47,fuzzy_name_without_code
LV0116,False,True,False,False,False,1.000000,True,False,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_fb214fdee22e,exact_name_without_code
LV0117,False,False,True,False,False,0.933333,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_4523ef04b7b0,official_code_with_other_support
LV0118,False,False,True,False,False,0.800000,True,True,3,0.625000,15.000000,same lineage but probable asset/configuration reset,same lineage but probable asset/configuration reset,same lineage but probable asset/configuration reset,site_a4b504bcfc12,official_code_with_other_support
LV0119,False,False,True,False,False,0.444444,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_b4a84489dafa,official_code_with_other_support
LV0120,False,True,False,False,False,1.000000,True,False,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_dc23d33ef704,exact_name_without_code
LV0121,False,False,True,False,False,0.375000,True,True,3,0.500000,0.000000,same lineage but probable asset/configuration reset,same lineage but probable asset/configuration reset,same lineage but probable asset/configuration reset,site_9f7992df30c2,official_code_with_other_support
LV0122,False,False,True,False,False,0.769231,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_45c3d4617f52,official_code_with_other_support
LV0123,False,False,True,False,False,0.714286,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_b402f93877ea,official_code_with_other_support
LV0124,False,True,False,False,False,1.000000,True,False,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_8040cc56c327,exact_name_without_code
LV0125,False,False,True,False,False,0.181818,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_ca01614b72e1,official_code_with_other_support
LV0126,False,False,True,False,False,0.769231,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_e7f23194b740,official_code_with_other_support
LV0127,False,False,True,False,False,0.750000,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_6ce0f238267a,official_code_with_other_support
LV0128,False,False,True,False,False,0.444444,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_421b2664bbcd,official_code_with_other_support
LV0129,False,False,False,False,False,1.000000,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_047902257ca2,official_code_and_exact_name
LV0130,False,False,False,False,False,1.000000,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_c77037bdc8dd,official_code_and_exact_name
LV0131,False,True,False,False,False,1.000000,True,False,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_60d6f9426708,exact_name_without_code
LV0132,False,False,True,False,False,0.588235,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_c0252315db6b,official_code_with_other_support
LV0133,False,False,True,False,False,0.588235,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_06b7a60f768e,official_code_with_other_support
LV0134,False,False,True,False,False,0.941176,False,False,5,0.000000,0.000000,different facility history,different facility history,unresolved: external evidence required,site_194458238f66,fuzzy_name_without_code
LV0135,False,True,True,False,False,0.952381,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_c4026d4b0a5a,official_code_with_other_support
LV0136,False,False,False,False,False,1.000000,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_47a4d1ed3826,official_code_and_exact_name
LV0137,False,True,False,False,False,1.000000,True,True,4,0.000000,17.000000,same lineage but probable asset/configuration reset,same lineage but probable asset/configuration reset,same lineage but probable asset/configuration reset,site_8cdea4ac5e04,official_code_and_exact_name
LV0138,False,False,False,False,False,1.000000,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_51352ca85af1,official_code_and_exact_name
LV0139,False,False,True,False,False,0.848485,True,False,3,0.000000,1.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_6958d603c8ad,fuzzy_name_without_code
LV0140,True,False,False,False,False,1.000000,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_e25e6a6fd862,official_code_and_exact_name
LV0141,False,False,True,False,False,0.571429,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_9c8574da0d51,official_code_with_other_support
LV0142,False,False,True,False,False,0.965517,True,False,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_2f4e08c84e7b,fuzzy_name_without_code
LV0143,False,False,False,False,False,1.000000,True,False,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_70be192328da,exact_name_without_code
LV0144,False,False,False,False,False,1.000000,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_622d5cc5623d,official_code_and_exact_name
LV0145,False,False,True,False,False,0.941176,True,False,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_9b026be29ba3,fuzzy_name_without_code
LV0146,False,False,True,False,False,0.700000,True,False,4,0.000000,0.000000,same administrative facility history,indeterminate from available evidence,same administrative facility history,site_2588b115e7e1,fuzzy_name_without_code
LV0147,False,False,False,True,False,1.000000,False,False,5,0.000000,0.000000,different facility history,different facility history,unresolved: external evidence required,site_386ae22e7c76,exact_name_without_code
LV0148,False,False,False,True,False,1.000000,True,False,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_098dab68b725,exact_name_without_code
LV0149,False,False,False,True,False,1.000000,True,False,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_6b7c5324ce14,exact_name_without_code
LV0150,False,False,True,False,False,0.838710,True,False,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_74a8a504bf33,fuzzy_name_without_code
LV0151,False,False,True,False,False,0.818182,True,False,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_b0e63b4fef96,fuzzy_name_without_code
LV0152,False,False,True,False,False,0.900000,True,False,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_5c96a6714cde,fuzzy_name_without_code
LV0153,False,False,True,False,False,0.888889,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_294a702ba911,official_code_with_other_support
LV0154,False,False,True,False,False,0.909091,True,False,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_800ac1669524,fuzzy_name_without_code
LV0155,False,False,True,False,False,0.000000,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_60169cb4b6b2,official_code_with_other_support
LV0156,False,False,True,False,False,0.500000,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_fdb471197a8b,official_code_with_other_support
LV0157,False,False,False,False,False,1.000000,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_9bd0db5b347e,official_code_and_exact_name
LV0158,False,False,True,False,False,0.842105,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_0fca746b4638,official_code_with_other_support
LV0159,False,False,True,False,False,0.956522,True,False,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_405b07aba7b4,fuzzy_name_without_code
LV0160,False,False,True,False,False,0.800000,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_2bc421ab5239,official_code_with_other_support
LV0161,False,False,True,True,False,0.682927,True,True,4,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_2c9d092e9ed6,official_code_with_other_support
LV0162,False,False,True,False,False,0.941176,False,False,5,0.000000,0.000000,different facility history,different facility history,unresolved: external evidence required,site_6e0d45825fbd,fuzzy_name_without_code
LV0163,False,False,True,False,False,0.871795,True,True,3,0.250000,3.000000,same administrative facility history,same lineage but probable asset/configuration reset,same lineage but probable asset/configuration reset,site_ee520af3baf1,official_code_with_other_support
LV0164,False,False,True,False,False,0.952381,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_5d140c391609,official_code_with_other_support
LV0165,False,False,True,False,False,0.947368,True,False,0,0.062500,34.000000,same lineage but probable asset/configuration reset,indeterminate from available evidence,unresolved: external evidence required,site_2abe1ee2eca5,fuzzy_name_without_code
